title,media,date,datetime,desc,link,img
"Meet designer Saloni Lodha, whose creation Akshata Murty wore to the G20 dinner",The Indian Express,3 hours ago,2023-09-17 17:19:29.668784,,https://indianexpress.com/article/lifestyle/fashion/akshata-murty-g20-dinner-designer-8942750/&ved=2ahUKEwj69_yP8rGBAxVFjJUCHciMAokQxfQBegQICRAC&usg=AOvVaw3o6kL_mrgkjWmGd4VS-XF4,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
“My wife was coordinating…” EAM Jaishankar explains his wife Kyoko’s role at G20 Summit,YouTube,4 hours ago,2023-09-17 16:19:29.678070,,https://www.youtube.com/watch%3Fv%3DPOVOuPcySSA&ved=2ahUKEwj69_yP8rGBAxVFjJUCHciMAokQxfQBegQIARAC&usg=AOvVaw1sf--vcxQ1vUjRjA8LmqfT,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
The hijacking of G20,The Express Tribune,6 hours ago,2023-09-17 14:19:29.691265,,https://tribune.com.pk/story/2436366/the-hijacking-of-g20&ved=2ahUKEwj69_yP8rGBAxVFjJUCHciMAokQxfQBegQIBRAC&usg=AOvVaw3HEW1Zx9tuj3AGMIv9S2vQ,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
How Delhi Police juggled unexpected requests from world leaders during G20,ThePrint,7 hours ago,2023-09-17 13:19:29.701254,,https://theprint.in/best-of-theprint-icymi/how-delhi-police-juggled-unexpected-requests-from-world-leaders-during-g20/1765684/&ved=2ahUKEwj69_yP8rGBAxVFjJUCHciMAokQxfQBegQIAxAC&usg=AOvVaw1H4PR9NDJ03BmJ9N-974EH,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
September 2023,G20,7 hours ago,2023-09-17 13:19:29.718082,,https://www.g20.org/en/media-resources/gallery/september-2023/&ved=2ahUKEwj69_yP8rGBAxVFjJUCHciMAokQxfQBegQIBBAC&usg=AOvVaw3eYPQdfdYkOIS2bBVQazZN,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
How inclusion of African Union into bloc elevates Indias G20 triumph to global acclaim,Firstpost,9 hours ago,2023-09-17 11:19:29.728119,,https://www.firstpost.com/opinion/how-inclusion-of-african-union-into-bloc-elevates-indias-g20-triumph-to-global-acclaim-13133912.html&ved=2ahUKEwj69_yP8rGBAxVFjJUCHciMAokQxfQBegQIBhAC&usg=AOvVaw1CFlBfpQL7FkEG-yENZH4j,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Turkey floats alternative to G20's India-Middle East trade corridor plan,Financial Times,0 hours ago,2023-09-17 20:19:29.728119,,https://www.ft.com/content/0673f928-dec9-48fb-83b3-8b868a9dcbbe&ved=2ahUKEwj69_yP8rGBAxVFjJUCHciMAokQxfQBegQICBAC&usg=AOvVaw3FsX9jsaNPvGtH7x7HC7-2,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"‘G20 coming out party’: India can be bridge in polarised world, say analysts",South China Morning Post,1 hours ago,2023-09-17 19:19:29.733230,,https://www.scmp.com/week-asia/economics/article/3234714/india-can-be-bridge-polarised-world-amid-global-south-push-g20-shows&ved=2ahUKEwj69_yP8rGBAxVFjJUCHciMAokQxfQBegQIBxAC&usg=AOvVaw3QI_lxQ2V21DbIg2bQ_8YG,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Top news of the week: G20 Delhi Declaration, Aditya L1, iPhone 15 launch and more | Mint",Mint,1 hours ago,2023-09-17 19:19:29.733230,,https://www.livemint.com/news/india/top-news-of-the-week-g20-delhi-declaration-aditya-l1-iphone-15-launch-and-more-11694914925643.html&ved=2ahUKEwj69_yP8rGBAxVFjJUCHciMAokQxfQBegQIAhAC&usg=AOvVaw26qzlaAHrf5qWH-h04rPco,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Looking Past the Government Narrative Around the G20 Summit,The Wire,2 hours ago,2023-09-17 18:19:27.997836,,https://thewire.in/politics/looking-past-the-government-narrative-around-the-g20-summit&ved=2ahUKEwjj3cON8rGBAxXypZUCHVZMAB0QxfQBegQIBxAC&usg=AOvVaw0na8k8kN6xjwQFMo6sCFhd,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Meet designer Saloni Lodha, whose creation Akshata Murty wore to the G20 dinner",The Indian Express,3 hours ago,2023-09-17 17:19:28.006261,,https://indianexpress.com/article/lifestyle/fashion/akshata-murty-g20-dinner-designer-8942750/&ved=2ahUKEwjj3cON8rGBAxXypZUCHVZMAB0QxfQBegQICRAC&usg=AOvVaw18xuIHDMkPAnGEutWtCJBz,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
“My wife was coordinating…” EAM Jaishankar explains his wife Kyoko’s role at G20 Summit,YouTube,4 hours ago,2023-09-17 16:19:28.015311,,https://www.youtube.com/watch%3Fv%3DPOVOuPcySSA&ved=2ahUKEwjj3cON8rGBAxXypZUCHVZMAB0QxfQBegQIBBAC&usg=AOvVaw109lMHUx-mDGej7p-ShcsK,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
The hijacking of G20,The Express Tribune,6 hours ago,2023-09-17 14:19:28.022907,,https://tribune.com.pk/story/2436366/the-hijacking-of-g20&ved=2ahUKEwjj3cON8rGBAxXypZUCHVZMAB0QxfQBegQIBhAC&usg=AOvVaw25z2czwkP1K2WCUrwTnz8N,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
How Delhi Police juggled unexpected requests from world leaders during G20,ThePrint,7 hours ago,2023-09-17 13:19:28.031313,,https://theprint.in/best-of-theprint-icymi/how-delhi-police-juggled-unexpected-requests-from-world-leaders-during-g20/1765684/&ved=2ahUKEwjj3cON8rGBAxXypZUCHVZMAB0QxfQBegQIARAC&usg=AOvVaw0oQdv79X9TARVGrxJryfj7,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
September 2023,G20,7 hours ago,2023-09-17 13:19:28.039756,,https://www.g20.org/en/media-resources/gallery/september-2023/&ved=2ahUKEwjj3cON8rGBAxXypZUCHVZMAB0QxfQBegQICBAC&usg=AOvVaw2dqJEYVARLZuykawBz4Q1Z,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
How inclusion of African Union into bloc elevates Indias G20 triumph to global acclaim,Firstpost,9 hours ago,2023-09-17 11:19:28.048214,,https://www.firstpost.com/opinion/how-inclusion-of-african-union-into-bloc-elevates-indias-g20-triumph-to-global-acclaim-13133912.html&ved=2ahUKEwjj3cON8rGBAxXypZUCHVZMAB0QxfQBegQIBRAC&usg=AOvVaw3WORj8XGdW4YWkzOK1TFKd,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Turkey floats alternative to G20's India-Middle East trade corridor plan,Financial Times,0 hours ago,2023-09-17 20:19:28.048214,,https://www.ft.com/content/0673f928-dec9-48fb-83b3-8b868a9dcbbe&ved=2ahUKEwjj3cON8rGBAxXypZUCHVZMAB0QxfQBegQIABAC&usg=AOvVaw10N1UoUb-o111-efZZi82u,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"‘G20 coming out party’: India can be bridge in polarised world, say analysts",South China Morning Post,1 hours ago,2023-09-17 19:19:28.048214,,https://www.scmp.com/week-asia/economics/article/3234714/india-can-be-bridge-polarised-world-amid-global-south-push-g20-shows&ved=2ahUKEwjj3cON8rGBAxXypZUCHVZMAB0QxfQBegQIAxAC&usg=AOvVaw3rHxvL0CGbrx_l2m7RkzGT,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
